# Real Antarctic bedrock transect for Part 9 (subglacial cavity benchmark).
# Source: BEDMAP1 standardised airborne-radar data points, British Antarctic Survey / SCAR Bedmap.
#   Fretwell et al.; NERC EDS UK Polar Data Centre. DOI:10.5285/f64815ec-4077-4432-9f55-0ce230f46029
#   License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
#   File: BEDMAP1_1966-2000_AIR_BM1.csv, contiguous flight segment rows 1074814:1078843.
# Single coherent flight line: 4029 points, 220.4 km along-track, 1757 m bed relief.
# Columns: along-track distance (m), bedrock_altitude (m, WGS84), longitude, latitude.
along_track_m,bedrock_altitude_m,longitude_deg,latitude_deg
25981.3,-165.0,-77.2237,-77.345
26084.7,-171.0,-77.2211,-77.3458
26084.7,-171.0,-77.2211,-77.3458
26176.4,-178.0,-77.2188,-77.3464
26267.1,-188.0,-77.2166,-77.3471
26267.1,-188.0,-77.2166,-77.3471
26361.4,-201.0,-77.2142,-77.3477
26452.5,-202.0,-77.2119,-77.3484
26546.9,-195.0,-77.2095,-77.3491
26546.9,-195.0,-77.2095,-77.3491
26638.5,-191.0,-77.2072,-77.3497
26733.9,-188.0,-77.2048,-77.3504
26733.9,-188.0,-77.2048,-77.3504
26825.7,-190.0,-77.2025,-77.351
26930.4,-190.0,-77.1999,-77.3518
26930.4,-190.0,-77.1999,-77.3518
27022.8,-202.0,-77.1976,-77.3524
27118.7,-215.0,-77.1951,-77.3531
27118.7,-215.0,-77.1951,-77.3531
27207.2,-231.0,-77.1929,-77.3538
27207.2,-231.0,-77.1929,-77.3538
27302.9,-249.0,-77.1905,-77.3544
27302.9,-249.0,-77.1905,-77.3544
27394.4,-261.0,-77.1882,-77.3551
27394.4,-261.0,-77.1882,-77.3551
27490.7,-280.0,-77.1858,-77.3558
27582.6,-294.0,-77.1835,-77.3564
27582.6,-294.0,-77.1835,-77.3564
27678.4,-316.0,-77.1812,-77.3571
27774.3,-334.0,-77.1788,-77.3578
27774.3,-334.0,-77.1788,-77.3578
27871.7,-346.0,-77.1764,-77.3585
27963.7,-365.0,-77.1741,-77.3592
28073.4,-363.0,-77.1713,-77.3599
28073.4,-363.0,-77.1713,-77.3599
28163.1,-369.0,-77.169,-77.3606
28259.4,-363.0,-77.1666,-77.3612
28259.4,-363.0,-77.1666,-77.3612
28350.5,-371.0,-77.1642,-77.3619
28465.4,-380.0,-77.1613,-77.3627
28465.4,-380.0,-77.1613,-77.3627
28558.4,-382.0,-77.1589,-77.3634
28558.4,-382.0,-77.1589,-77.3634
28647.5,-386.0,-77.1567,-77.364
28647.5,-386.0,-77.1567,-77.364
28736.4,-393.0,-77.1544,-77.3646
28736.4,-393.0,-77.1544,-77.3646
28827.8,-406.0,-77.1521,-77.3653
28913.1,-394.0,-77.15,-77.3659
28913.1,-394.0,-77.15,-77.3659
29003.6,-401.0,-77.1477,-77.3665
29092.1,-399.0,-77.1455,-77.3672
29092.1,-399.0,-77.1455,-77.3672
29187.7,-412.0,-77.1431,-77.3678
29278.8,-416.0,-77.1407,-77.3685
29278.8,-416.0,-77.1407,-77.3685
29368.3,-430.0,-77.1384,-77.3691
29457.8,-422.0,-77.1362,-77.3697
29550.7,-431.0,-77.1338,-77.3704
29550.7,-431.0,-77.1338,-77.3704
29640.5,-440.0,-77.1314,-77.371
29640.5,-440.0,-77.1314,-77.371
